commune,ofs,population,superficie,densite,canton,pecc,details
Aire-la-Ville,6601,1 160,"2,93",396,Genève,Non,"Petite commune sans plan climat formel. Elle mise sur des mesures générales : optimisation de l’éclairage public (passage aux LED), tri et recyclage des déchets, et encouragement des déplacements en transports publics via les abonnements régionaux. Ces actions locales contribuent à la réduction des émissions et s’inscrivent dans les objectifs cantonaux (–60_% GES d’ici 2030, neutralité en 2050)"
Anières,6602,2 521,"3,86",653,Genève,Non,"Labellisée Cité de l’énergie depuis 2011 , la commune intègre les enjeux énergie-climat dans son aménagement. Elle a mis en place un suivi énergétique de ses bâtiments communaux et prépare un réseau de chauffage à distance alimenté par l’eau du lac Léman pour remplacer le mazout . Anières encourage aussi la biodiversité via une Charte des jardinsécologique . Ces actions, régulièrement évaluées, alignent la commune sur la trajectoire cantonale de –60_% d’émissions d’ici 2030 et neutralité en 2050"
Avully,6603,1 757,"4,61",381,Genève,Non,"Pas de PECC. La commune rurale d’Avully a toutefois adopté des pratiques durables : soutien à l’agriculture locale (viticulture respectueuse de l’environnement), gestion écologique des espaces verts communaux et valorisation des déchets verts en compost. L’éclairage public a été modernisé pour économiser l’énergie. Ces mesures contribuent, à petite échelle, aux buts du plan climat cantonal (réduction rapide des GES d’ici 2030 et neutralité en 2050)"
Avusy,6604,1 408,"5,19",271,Genève,Non,"Pas de plan climat communal. Avusy, commune agricole, encourage une production agricole durable (agriculture biologique et circuits courts pour réduire les transports) et protège ses zones naturelles. Elle a rénové ses bâtiments communaux (école, mairie) avec une meilleure isolation et installé une chaudière à bois déchiqueté commune pour réduire l’usage de fioul. Ces efforts locaux s’inscrivent dans la stratégie cantonale de baisse de 60% des émissions d’ici 2030 et de neutralité climatique en 2050"
Bardonnex,6605,2 548,5,510,Genève,Non,"Bardonnex n’a pas de PECC, mais mène des actions concrètes : elle a rejoint le programme cantonal d’abandon du chauffage au mazout (plusieurs bâtiments communaux sont passés aux pompes à chaleur ou à une chaufferie à bois partagée). La commune participe également au projet cantonal d’optimisation de l’éclairage public nocturne pour diminuer la consommation électrique et la pollution lumineuse. Enfin, Bardonnex valorise l’entretien écologique de ses espaces agricoles et naturels. Ces initiatives locales contribuent aux objectifs du Plan climat cantonal (–60_% GES en 2030, neutralité en 2050)"
Bellevue,6606,4 104,"4,35",943,Genève,Non (plan directeur énergie),"Bellevue, labellisée Cité de l’énergie GOLD, a adopté un Plan directeur communal de l’énergie (PDEn) en 2017 . Celui-ci fixe des cibles ambitieuses : –20_% d’émissions de CO_ d’ici 2030 et au moins 35_% d’énergies renouvelables dans la consommation communale à cet horizon . Pour y parvenir, Bellevue a entrepris la rénovation énergétique de ses bâtiments publics, soutient financièrement l’installation de pompes à chaleur et panneaux solaires chez les particuliers, et a déployé des bornes de recharge pour véhicules électriques. Ces actions locales soutiennent la trajectoire cantonale de neutralité climatique en renforçant l’efficacité énergétique et les énergies renouvelables."
Bernex,6607,10 864,"12,95",839,Genève,Non (plan directeur énergie),"Bernex est pionnière : labellisée Cité de l’énergie depuis 2007 et GOLD depuis 2012 . Son Plan directeur des énergies, actualisé en 2020, a conduit à de nombreuses mesures : création d’un fonds communal finançant les rénovations énergétiques des bâtiments privés (programme Sortir du mazout, étendu en 2022) , suivi et optimisation de l’énergie dans les bâtiments communaux, installation de panneaux solaires sur toitures publiques , déploiement du chauffage à distance et promotion de la mobilité douce (vélos en libre-service, bornes de recharge électrique) . Bernex a également mené une campagne “Zéro déchet” (vaisselle réutilisable dans les événements) et un vaste programme d’arborisation et de plantations d’espèces adaptées au climat . La commune vise ainsi –50_% de CO_ et –30_% de consommation d’énergie par habitant d’ici 2035 , contribuant pleinement aux cibles cantonales."
Carouge,6608,22 311,"2,7",8 263,Genève,"Oui (Plan climat intégré au PDCom 2040, en cours d’adoption)","Transport/mobilité : Le plan climat communal (intégré au Plan directeur communal “Carouge horizon 2040”) vise un report modal vers les mobilités douces et le développement d’une «ville du quart d’heure» alignée sur les objectifs cantonaux . Bâtiments/énergie : Mise à jour du plan directeur de l’énergie communal pour planifier la transition énergétique , participation au programme SIG-éco21 pour l’efficacité énergétique , soutien au déploiement de réseaux de chauffage à distance utilisant des énergies renouvelables sur le territoire . Déchets/consommation : Lancement du programme «Carouge Zéro Déchet» pour réduire les déchets et promouvoir l’économie circulaire"
Cartigny,6609,1 046,"4,38",239,Genève,Non,"Pas de plan climat spécifique. La petite commune de Cartigny agit à travers le développement durable local : elle a par exemple installé des panneaux solaires sur un bâtiment communal (salle polyvalente) pour produire de l’électricité verte, et favorise le covoiturage des habitants via une plateforme locale pour réduire le trafic routier. Par ailleurs, Cartigny participe à la gestion intercommunale des déchets verts en les compostant plutôt qu’en les incinérant. Ces actions modestes s’additionnent aux efforts cantonaux vers –60_% d’émissions en 2030 et la neutralité en 2050"
Céligny,6610,874.00,"4,65",188,Genève,Non,"Pas de PECC. Céligny (exclave vaudoise enclavée à Genève) s’aligne sur les politiques cantonales genevoises en matière d’énergie et climat. La commune a rénové récemment sa maison de commune en améliorant l’isolation et en installant une pompe à chaleur, éliminant le chauffage au fioul. Elle sensibilise par ailleurs ses habitants au tri des déchets et à la réduction du gaspillage d’eau en été. Céligny, bien que petite, contribue ainsi à l’effort global de réduction des GES d’ici 2030 et de neutralité en 2050 fixé par le canton"
Chancy,6611,1 651,"5,36",308,Genève,Non,"Pas de plan énergie-climat communal. Chancy, commune rurale à l’extrême ouest du canton, a mis en place quelques actions : elle exploite un réseau de chauffage à bois déchiqueté qui alimente en chaleur plusieurs bâtiments communaux (école, salle de commune) pour diminuer l’utilisation de mazout. La commune encourage aussi les mobilités douces transfrontalières (amélioration d’un chemin cyclable vers la France voisine) et a participé au projet cantonal d’installation de nichoirs et mares pour préserver la biodiversité locale. Ces démarches accompagnent les objectifs du Plan climat cantonal (diminution rapide des émissions d’ici 2030, neutralité en 2050)"
Chêne-Bougeries,6612,13 876,"4,13",3 360,Genève,Non,"La commune de Chêne-Bougeries ne dispose pas d’un PECC propre, mais s’est engagée dans la démarche Cité de l’énergie. Elle encourage les transports non motorisés (cheminements piétons améliorés, subsides à l’achat de vélos électriques pour les habitants) et a adopté un plan d’action pour la biodiversité urbaine (plantation de haies vives indigènes, fauchage tardif). En matière d’énergie, Chêne-Bougeries propose des subventions communales pour l’installation de pompes à chaleur et panneaux solaires, en complément des aides cantonales . L’ensemble de ces mesures appuie l’atteinte des cibles cantonales (-60% GES en 2030, neutralité en 2050)."
Chêne-Bourg,6613,9 450,"1,28",7 383,Genève,Non,"Chêne-Bourg est certifiée Cité de l’énergie (67,9% des mesures accomplies lors du dernier audit) . La commune a mené diverses actions : développement d’un écoquartier autour de la nouvelle gare Léman Express (bâtiments à basse consommation, mobilité douce privilégiée), subventions pour l’assainissement énergétique des villas privées (isolation, chauffage renouvelable) et participation au programme SIG-éco21 pour réduire la consommation électrique locale. Chêne-Bourg a également adopté un règlement d’urbanisme intégrant la gestion des eaux pluviales et la plantation d’arbres en ville pour lutter contre les vagues de chaleur. Ces efforts locaux contribuent aux objectifs du Plan climat cantonal genevois"
Choulex,6614,1 247,"3,91",319,Genève,Non,"Pas de plan communal. Choulex, village viticole, concentre ses efforts sur l’agriculture durable et la préservation du paysage. La commune collabore avec les vignerons locaux pour promouvoir la viticulture biologique (réduction des intrants chimiques et de l’empreinte carbone du vignoble). Elle a installé une petite centrale solaire photovoltaïque sur le toit de son hangar communal pour alimenter en électricité le réseau local, et utilise un véhicule communal électrique pour les travaux communaux. Ces actions, bien que modestes, participent à la dynamique cantonale de réduction des émissions de GES à l’horizon 2030 et de neutralité en 2050"
Collex-Bossy,6615,1 685,"6,89",245,Genève,Non,"Pas de PECC. Collex-Bossy, commune semi-rurale, s’attache à une gestion durable de son patrimoine naturel. Elle a conclu un partenariat avec un exploitant agricole local pour développer une chaufferie bois communale qui valorise les résidus de bois des environs afin de chauffer l’école et le bâtiment administratif sans CO_ fossile. La commune a également rejoint le projet intercommunal de mobilité partagée en zone rurale, offrant à ses habitants un service de minibus à la demande et des stations de vélos électriques, réduisant ainsi la dépendance à la voiture individuelle. En modernisant ses infrastructures (par ex. éclairage LED, rénovation de la salle communale), Collex-Bossy contribue aux efforts de réduction des GES du canton"
Collonge-Bellerive,6616,8 630,"6,12",1 410,Genève,Non,"Collonge-Bellerive a engagé une politique énergétique locale sans plan climat formel. La commune a instauré un programme de subventions 2023–2025 pour la transition énergétique, encourageant l’installation de panneaux solaires, de pompes à chaleur et le remplacement des chaudières fossiles . En collaboration avec SIG-éco21 et l’Office cantonal de l’énergie, elle propose aux ménages des audits énergétiques gratuits (programme “Visite Villa”) pour identifier les économies possibles . Côté mobilité, Collonge-Bellerive soutient le covoiturage communal et a aménagé de nouvelles bandes cyclables le long de la route du Lac. Ces mesures vont dans le sens des objectifs cantonaux (-60% GES d’ici 2030, neutralité 2050)."
Cologny,6617,6 024,"3,67",1 641,Genève,Non,"Pas de plan communal. Cologny, commune résidentielle, a mis l’accent sur l’efficacité énergétique des bâtiments : elle exige des nouvelles constructions privées le standard HPE (Haute Performance Énergétique) et a rénové la Mairie et un groupe scolaire avec une isolation de pointe et des pompes à chaleur. La commune a obtenu en 2022 le financement participatif d’un parc solaire citoyen installé sur les toits d’un centre sportif, dont l’électricité alimente une partie de l’éclairage public communal. Par ailleurs, Cologny collabore avec les Transports Publics Genevois pour améliorer la desserte en bus électrique de ses quartiers. Ces actions locales s’inscrivent dans le cadre du Plan climat cantonal pour 2030–2050"
Confignon,6618,4 552,"2,77",1 643,Genève,Non (stratégie énergie-climat),"Confignon est très engagée : labellisée Cité de l’énergie GOLD en 2014 et 2018 , elle a adopté une stratégie climatique communale. La commune vise une société à 2000 Watts et a fixé des cibles d’ici 2030 cohérentes avec le canton : –50_% d’émissions de GES (par rapport à 2012), –30_% de consommation d’énergie primaire et –55_% d’énergies fossiles . Pour ce faire, Confignon a mis en place un plan d’actions comprenant l’amélioration de l’efficacité énergétique de ses bâtiments (plusieurs toitures équipées de panneaux solaires, isolation renforcée des écoles), la densification autour des transports publics pour limiter la voiture, et la protection des écosystèmes locaux (corridors verts préservés). Ainsi, sans plan climat isolé, Confignon opère une politique alignée sur le Plan climat cantonal"
Corsier,6619,2 282,"2,74",833,Genève,Non,"Pas de PECC. Corsier, commune sur les rives du Léman, axe ses efforts sur la préservation du climat local et du lac. Avec les communes voisines, Corsier participe au projet GeniLac (développement d’un réseau thermique alimenté par l’eau du lac) permettant à des bâtiments de se chauffer et refroidir sans émissions carbone. La commune a également acquis un bus scolaire électrique partagé avec Anières pour transporter les élèves sans pollution atmosphérique. En matière d’urbanisme, Corsier impose des quotas de surfaces végétalisées et de plantations d’arbres lors de nouvelles constructions afin de limiter l’effet de chaleur. Ces mesures communales soutiennent la trajectoire cantonale de neutralité carbone d’ici 2050"
