,commune,ofs,population,superficie,densite,canton,pecc,details
0,Aire-la-Ville,6601,1160,2.93,396.0,Genève,Non,"Petite commune sans plan climat formel. Elle mise sur des mesures générales : optimisation de l’éclairage public (passage aux LED), tri et recyclage des déchets, et encouragement des déplacements en transports publics via les abonnements régionaux. Ces actions locales contribuent à la réduction des émissions et s’inscrivent dans les objectifs cantonaux (–60_% GES d’ici 2030, neutralité en 2050)"
1,Anières,6602,2521,3.86,653.0,Genève,Non,"Labellisée Cité de l’énergie depuis 2011 , la commune intègre les enjeux énergie-climat dans son aménagement. Elle a mis en place un suivi énergétique de ses bâtiments communaux et prépare un réseau de chauffage à distance alimenté par l’eau du lac Léman pour remplacer le mazout . Anières encourage aussi la biodiversité via une Charte des jardinsécologique . Ces actions, régulièrement évaluées, alignent la commune sur la trajectoire cantonale de –60_% d’émissions d’ici 2030 et neutralité en 2050"
2,Avully,6603,1757,4.61,381.0,Genève,Non,"Pas de PECC. La commune rurale d’Avully a toutefois adopté des pratiques durables : soutien à l’agriculture locale (viticulture respectueuse de l’environnement), gestion écologique des espaces verts communaux et valorisation des déchets verts en compost. L’éclairage public a été modernisé pour économiser l’énergie. Ces mesures contribuent, à petite échelle, aux buts du plan climat cantonal (réduction rapide des GES d’ici 2030 et neutralité en 2050)"
3,Avusy,6604,1408,5.19,271.0,Genève,Non,"Pas de plan climat communal. Avusy, commune agricole, encourage une production agricole durable (agriculture biologique et circuits courts pour réduire les transports) et protège ses zones naturelles. Elle a rénové ses bâtiments communaux (école, mairie) avec une meilleure isolation et installé une chaudière à bois déchiqueté commune pour réduire l’usage de fioul. Ces efforts locaux s’inscrivent dans la stratégie cantonale de baisse de 60% des émissions d’ici 2030 et de neutralité climatique en 2050"
4,Bardonnex,6605,2548,5.0,510.0,Genève,Non,"Bardonnex n’a pas de PECC, mais mène des actions concrètes : elle a rejoint le programme cantonal d’abandon du chauffage au mazout (plusieurs bâtiments communaux sont passés aux pompes à chaleur ou à une chaufferie à bois partagée). La commune participe également au projet cantonal d’optimisation de l’éclairage public nocturne pour diminuer la consommation électrique et la pollution lumineuse. Enfin, Bardonnex valorise l’entretien écologique de ses espaces agricoles et naturels. Ces initiatives locales contribuent aux objectifs du Plan climat cantonal (–60_% GES en 2030, neutralité en 2050)"
5,Bellevue,6606,4104,4.35,943.0,Genève,Non (plan directeur énergie),"Bellevue, labellisée Cité de l’énergie GOLD, a adopté un Plan directeur communal de l’énergie (PDEn) en 2017 . Celui-ci fixe des cibles ambitieuses : –20_% d’émissions de CO_ d’ici 2030 et au moins 35_% d’énergies renouvelables dans la consommation communale à cet horizon . Pour y parvenir, Bellevue a entrepris la rénovation énergétique de ses bâtiments publics, soutient financièrement l’installation de pompes à chaleur et panneaux solaires chez les particuliers, et a déployé des bornes de recharge pour véhicules électriques. Ces actions locales soutiennent la trajectoire cantonale de neutralité climatique en renforçant l’efficacité énergétique et les énergies renouvelables."
6,Bernex,6607,10864,12.95,839.0,Genève,Non (plan directeur énergie),"Bernex est pionnière : labellisée Cité de l’énergie depuis 2007 et GOLD depuis 2012 . Son Plan directeur des énergies, actualisé en 2020, a conduit à de nombreuses mesures : création d’un fonds communal finançant les rénovations énergétiques des bâtiments privés (programme Sortir du mazout, étendu en 2022) , suivi et optimisation de l’énergie dans les bâtiments communaux, installation de panneaux solaires sur toitures publiques , déploiement du chauffage à distance et promotion de la mobilité douce (vélos en libre-service, bornes de recharge électrique) . Bernex a également mené une campagne “Zéro déchet” (vaisselle réutilisable dans les événements) et un vaste programme d’arborisation et de plantations d’espèces adaptées au climat . La commune vise ainsi –50_% de CO_ et –30_% de consommation d’énergie par habitant d’ici 2035 , contribuant pleinement aux cibles cantonales."
7,Carouge,6608,22311,2.7,8263.0,Genève,"Oui (Plan climat intégré au PDCom 2040, en cours d’adoption)","Transport/mobilité : Le plan climat communal (intégré au Plan directeur communal “Carouge horizon 2040”) vise un report modal vers les mobilités douces et le développement d’une «ville du quart d’heure» alignée sur les objectifs cantonaux . Bâtiments/énergie : Mise à jour du plan directeur de l’énergie communal pour planifier la transition énergétique , participation au programme SIG-éco21 pour l’efficacité énergétique , soutien au déploiement de réseaux de chauffage à distance utilisant des énergies renouvelables sur le territoire . Déchets/consommation : Lancement du programme «Carouge Zéro Déchet» pour réduire les déchets et promouvoir l’économie circulaire"
8,Cartigny,6609,1046,4.38,239.0,Genève,Non,"Pas de plan climat spécifique. La petite commune de Cartigny agit à travers le développement durable local : elle a par exemple installé des panneaux solaires sur un bâtiment communal (salle polyvalente) pour produire de l’électricité verte, et favorise le covoiturage des habitants via une plateforme locale pour réduire le trafic routier. Par ailleurs, Cartigny participe à la gestion intercommunale des déchets verts en les compostant plutôt qu’en les incinérant. Ces actions modestes s’additionnent aux efforts cantonaux vers –60_% d’émissions en 2030 et la neutralité en 2050"
9,Céligny,6610,874,4.65,188.0,Genève,Non,"Pas de PECC. Céligny (exclave vaudoise enclavée à Genève) s’aligne sur les politiques cantonales genevoises en matière d’énergie et climat. La commune a rénové récemment sa maison de commune en améliorant l’isolation et en installant une pompe à chaleur, éliminant le chauffage au fioul. Elle sensibilise par ailleurs ses habitants au tri des déchets et à la réduction du gaspillage d’eau en été. Céligny, bien que petite, contribue ainsi à l’effort global de réduction des GES d’ici 2030 et de neutralité en 2050 fixé par le canton"
10,Chancy,6611,1651,5.36,308.0,Genève,Non,"Pas de plan énergie-climat communal. Chancy, commune rurale à l’extrême ouest du canton, a mis en place quelques actions : elle exploite un réseau de chauffage à bois déchiqueté qui alimente en chaleur plusieurs bâtiments communaux (école, salle de commune) pour diminuer l’utilisation de mazout. La commune encourage aussi les mobilités douces transfrontalières (amélioration d’un chemin cyclable vers la France voisine) et a participé au projet cantonal d’installation de nichoirs et mares pour préserver la biodiversité locale. Ces démarches accompagnent les objectifs du Plan climat cantonal (diminution rapide des émissions d’ici 2030, neutralité en 2050)"
